block_number,sender,to,amount0,amount1,timestamps
19059987,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xB361acda25ef3891804be0325cF5E7282Fae68E2,97835746,4670246391906315817,1631535432
19060967,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2A14Bf63d2924a9A57ecb8ce4FE5C5f61857C210,148340590,7148964554424574490,1631537747
19071823,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xC3E924BA0688dF35FE28A4f9F782139761E9D2E8,22001125,977304685200376408,1631563514
19079326,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xa83501AD088Bb6e4bF517979a8E7f9Ccd86CF8e8,2193305780,99977102405228609067,1631581294
19085868,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x81C68Ae714E2bd4f155DE8497109414137701Aa6,4549183891,222743585586765896049,1631595852
19087527,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x822F299a7290E1FaAAa7E40031A3FCEa856507d8,93068812,4713653296268181004,1631599765
19105179,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x81a54cAfF063412A1E3C230ea4BEEF2788424360,31634858,1682341956748050396,1631639383
19105549,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x81C68Ae714E2bd4f155DE8497109414137701Aa6,1927977567,102557094936781649096,1631640154
19110502,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x6Ee1f704991b2d1dEdE3EFd5F82E2aacd9d85B0f,1182589489,66437466692882965033,1631651095
19111237,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x49a3Aab8EBe80725646937b9E9f6f8b4e9867bfe,167655503,9520189767717088938,1631652741
19112821,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xd1FC5520A2CD7Bf3693120585F7c1597186a375c,1221771,69680785496101025,1631656679
19113870,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x47f7dCBD00806539FEcD9289Bbe7D45ccCC764E3,7503441993,428886225867247345468,1631659269
19120062,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x873AaEdc9dDdeE8e4819d55453e6A772a62B753B,14672428,1050174645766526134,1631673524
19123273,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x6DDF8dcFB14AfeE0c449e3b0F9235fcF080856b4,7334199,517908173940271167,1631680808
19128558,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7c5A58bB60F37967491F46b11252c36A932cDD5C,444390370,34185460163953129742,1631692643
19131782,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x11339e0aC6AeBd23E93D996078590da27cC42046,542845455,42888408645859315657,1631700601
19134876,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEaE066B477E3638C668142b37375013e51c14701,5222646,419928222970227322,1631707887
19134920,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE1AB85E458ebEA43c5302CE84f5a89Cb22fE351a,197977203,15918406854825188489,1631707997
19136444,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x13ffef09C547cc590e23efE6Df3397b93952F22d,24216839,1962073450092649531,1631711676
19139190,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x3cAeC1B35c38fDE81B58f4BEef61472DaF3B8F68,176600133,15489131522430977853,1631718037
19139888,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x29EC2821b332fB03Ca87e4a337a68a82Fb75f522,2898364,254746217725028606,1631719495
19140267,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x5c0C8A301ed3904ee417DEe3CB9c6A7020337958,439157925,39197786295641485236,1631720282
19140590,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x3bc22b1e5693070D28d881516Bc025E36c501d0d,176226352,15681085434221191492,1631721204
19148205,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x3ED2499293257deAd5cB398d790e7FA6a3a7Ef4e,50739717,4315853781642229182,1631739529
19148262,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xFbDA25e7147EdF11bcD561f39707F74A80CFB81a,98113283,8345387106231579859,1631739647
19169713,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7388CCA8F76A409612F1a7e32e8ab886364e316d,56727255,4374287965522278977,1631792083
19171884,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x219f71Ed2F08FC5e86a61A10c0C7908f6a4D28D5,227714056,17344260913589469424,1631798046
19181293,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x90bEAD235C1f8e0133B9c717039f238278aD964b,87009454,6509721194727501002,1631824148
19183803,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x3A6eea46EB8818AB1ea148eaBa7BeD1150e747CF,65216721,4889748086056192109,1631830423
19192132,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x346Aa49f590602BD2D0B83f905647191C11FE195,1152933,90610618430857680,1631851966
19192707,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x078c985cf994F4bB28CDf48fFfC0ED68F14e1849,592255022,46555853766380130546,1631853536
19203242,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x5778D7FfcdCDa12e61F768ECf4FF6d46cEe1f3bF,38346577,3043807291292298146,1631879780
19214733,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xe798e28f7Fb1e46DfCdf88DD281a6c29553E769e,41646862,3348021695176768190,1631906851
19230691,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x8c96522975Ce4035DF2Bd00b11dc30BD37069887,440060610,35960078132052127771,1631947844
19251627,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xbE06C9BA644b3A98DefFc01Ad989cac876f43001,13652426,1135822089601227503,1631998941
19257069,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7388CCA8F76A409612F1a7e32e8ab886364e316d,85695003,7174906006388017286,1632013629
19264717,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x394995BfE786E5B861DCABA50c023aa834d29411,11661599,986030885936711005,1632032913
19301915,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x00561A0D394A2caD87C811615f72b61cB0eD3faA,305274517,28027136579834691286,1632119059
