block_number,owner,tickLower,tickUpper,amount,amount0,amount1,timestamps
26698441,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7620,-7140,2555421233604496512341,39889126687507679859,23082277256339713464,1648994947
26709690,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7620,-7140,55687004094539957300760,855065919999674696582,509801312154063667617,1649020640
26709749,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7620,-7140,5222869906146709654367,80196414476817343735,47814134997156924774,1649020772
26709797,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7620,-7140,1305684784730602463276,20048601641234925488,11953234463559918096,1649020872
26709873,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7620,-7140,65150724269542398759,1000000000000000000,596621566151526391,1649021028
26713938,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7620,-7140,96910176432301357790565,1542971961943330764588,860869636731967265815,1649029949
26713999,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7620,-7140,10429554769941609124548,166055941470852549012,92647515014565064253,1649030075
26763231,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7440,-7260,23338496330444238822647,177999999999999999999,59773146582985364182,1649140125
26774077,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-9540,-5280,2442524778611054318,339733654290909208,178811957173326622,1649164038
26781844,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8640,-6180,5825572589831720618102,508201275825793697893,237540823788085999390,1649180245
26787936,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7620,-7140,13062476795550574769910,251762180957036248464,95112855244973312406,1649193261
26787996,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7620,-7140,35093517359520258183694,714422627403323940270,237406714282283097593,1649193385
26788030,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7620,-7140,21045220113315564507121,428431875141105008377,142370355962459921144,1649193453
26788104,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7620,-7140,12570337824143125817941,234616443575946156631,95183053328060739663,1649193609
